ORDEM;MEDIDO;ESTIMADO
3361;42.0039;40.73196684
3362;205.36218;179.8144276
3363;420.41392;431.8922469
3364;116.47399;121.985757
3365;2.98645;2.385091154
3366;317.77984;303.1878182
3367;36.4679;40.67140869
3368;394.4954;397.1547353
3369;147.844;151.7000503
3370;254.5413;253.959286
3371;300.1376;286.2143882
3372;180.6422;181.0304622
3373;292.156;298.0707967
3374;164.54724;145.3645466
3375;72.5229;73.19156264
3376;361.4679;356.2006785
3377;476.6055;472.4898324
3378;75.7339;73.84734338
3379;443.1193;418.9992758
3380;7.3218;7.855073168
3381;286.3303;287.418053
3382;1.055;4.497752828
3383;103.211;108.4175192
3384;192.6782;203.9718218
3385;375.63492;378.5197345
3386;151.2844;142.2844228
3387;16.0886;9.788745115
3388;252.4771;251.9512615
3389;4.0367;6.141421787
3390;106.5596;108.7137769
3391;245.0917;246.4002611
3392;44.3119;40.71469584
3393;352.7523;351.6863943
3394;368.29723;350.1826646
3395;208.3945;210.2631232
3396;63.0734;63.02404532
3397;205.4587;202.0088102
3398;175.8716;192.8622426
3399;259.45431;282.2617206
3400;13.1193;14.00038555
3401;199.8624;208.082951
3402;115.9174;116.5770401
3403;278.6239;280.6445473
3404;282.2477;290.424065
3405;127.2018;130.5290036
3406;140.3661;133.9513824
3407;379.3578;379.9922581
3408;338.9908;346.7518822
3409;19.9083;22.22092935
3410;257.4312;252.1200656
3411;33.3961;31.17475753
3412;268.0734;270.7605329
3413;474.7706;470.383393
3414;35.6881;37.56664091
3415;116.5138;112.1798108
3416;201.055;193.9849122
3417;427.93982;439.2625868
3418;377.4567;383.8886408
3419;123.8991;119.6839947
3420;153.24549;163.2314337
3421;328.4404;338.4438853
3422;109.1284;110.2128752
3423;171.40172;165.1799337
3424;280.2752;272.8495626
3425;1.6972;4.196510657
3426;323.3945;328.0680099
3427;207.5688;211.4919017
3428;361.0092;356.1154949
3429;248.0275;248.4266902
3430;76.3761;80.60389815
3431;283.4431;281.446223
3432;98.0275;103.5313161
3433;398.6238;392.0762292
3434;47.7982;48.07685556
3435;127.8899;124.999181
3436;454.817;431.7685562
3437;3.7615;6.867541
3438;85.0917;92.9339942
3439;196.8807;211.3162471
3440;210.9633;208.1400705
3441;264.64348;237.5996831
3442;316.83907;290.7627765
3443;505.5046;487.4056933
3444;363.7615;366.363573
3445;58.3945;56.38846433
3446;325.2294;334.2367498
3447;160.5046;190.0171996
3448;207.7523;197.0246775
3449;85.8382;85.62301208
3450;325.2294;311.8040165
3451;2.3394;3.205987812
3452;23.5067;20.390364
3453;148.6697;152.2394645
3454;82.4312;81.2616126
3455;361.0092;359.0326905
3456;478.4404;468.2495939
3457;330.7339;322.4134171
3458;375.2294;377.4173051
3459;152.8899;157.6240614
3460;99.1743;95.16548234
3461;140;141.2314052
3462;374.7706;379.7915189
3463;63.5321;67.27760045
3464;62.9817;66.00231546
3465;143.4489;144.1671455
3466;71.1009;72.90948361
3467;372.9358;375.7746127
3468;179.30391;168.4424651
3469;21.6055;21.99941651
3470;277.7064;277.2782516
3471;284.6789;275.1324742
3472;316.6055;317.7916907
3473;156.5138;160.3544156
3474;78.4404;74.41976081
3475;152.6605;153.1864829
3476;167.9358;169.6274946
3477;16.0092;18.10156977
3478;351.15609;333.9337566
3479;256.6055;252.9547897
3480;362.3853;352.047015
3481;291.06304;284.5210109
3482;279.8624;288.1789525
3483;388.5321;379.6124069
3484;21.67627;23.89320297
3485;74.03573;67.07352897
3486;200.3211;195.3496688
3487;169.3119;173.6523006
3488;120.5046;111.563763
3489;51.34874;53.18852136
3490;162.4277;171.5000814
3491;176.9266;176.977295
3492;312.7982;311.2119526
3493;139.79299;138.7114771
3494;124.08471;127.3383636
3495;448.1651;443.1942574
3496;233.1193;231.3961319
3497;307.4771;301.6362861
3498;107.1101;109.7647414
3499;17.7982;19.78923143
3500;94.4495;130.7978435
3501;118.20811;122.9371282
3502;44.7706;45.92757345
3503;2.1195;3.014741859
3504;82.3853;87.7023009
3505;34.0367;36.499597
3506;50.8716;42.78328999
3507;108.578;105.8082553
3508;235.5046;236.6696146
3509;7.5688;12.45295511
3510;357.7982;364.7850023
3511;152.156;155.7115503
3512;175.3211;190.2833993
3513;198.0734;195.6110594
3514;2.7064;4.225900356
3515;155.0459;157.8312143
3516;226.2385;224.251451
3517;215.3211;230.2147248
3518;104.8165;109.0671722
3519;106.1009;103.32997
3520;13.211;16.38201552
3521;333.0275;332.5897668
3522;22.67174;25.50731503
3523;73.6031;77.50258039
3524;432.46621;422.4238319
3525;224.4701;218.3436535
3526;116.2385;112.8986801
3527;390.21641;387.1276855
3528;10.7339;14.48781742
3529;45.62559;47.79238164
3530;169.2661;166.2804067
3531;476.1468;478.4715595
3532;81.6514;86.03467993
3533;29.0367;14.25598422
3534;9.9083;12.93789426
3535;38.7156;42.42633855
3536;215.23994;208.2211145
3537;179.2661;174.8936317
3538;148.0275;156.0381145
3539;270.1835;264.8099364
3540;196.7431;198.3716829
3541;302.9816;295.1056563
3542;51.055;48.62325725
3543;227.8899;227.3695228
3544;357.3394;357.3094733
3545;33.3028;29.40259988
3546;103.5321;103.6616296
3547;320.8716;314.2635518
3548;3.3028;6.815479716
3549;240.367;234.9048248
3550;124.3578;122.7363329
3551;333.4862;324.54613
3552;40.26334;41.32588881
3553;236.6972;237.7254833
3554;285.7798;284.6859048
3555;408.2569;406.8809545
3556;219.0826;218.3999435
3557;334.8624;329.5012729
3558;234.7706;237.6252052
3559;6.1468;4.348570633
3560;366.03954;400.7379653
